Station_Name,Latitude,Longitude,Elevation,Station_Type,Station_ID
Stage IV Nexrad (4-m spacing),34.5529829040143,-78.3413518125722,,StageIV,Stg_IV_34.55_-78.34
Stage IV Nexrad (4-m spacing),34.6334511612581,-78.3411919938471,,StageIV,Stg_IV_34.63_-78.34
Stage IV Nexrad (4-m spacing),34.7139787526651,-78.3410316284016,,StageIV,Stg_IV_34.71_-78.34
Stage IV Nexrad (4-m spacing),34.3440143774462,-78.3223176415166,,StageIV,Stg_IV_34.34_-78.32
Stage IV Nexrad (4-m spacing),34.4243282318984,-78.3221261717671,,StageIV,Stg_IV_34.42_-78.32
Stage IV Nexrad (4-m spacing),34.5047014554228,-78.3219340499238,,StageIV,Stg_IV_34.50_-78.32
Stage IV Nexrad (4-m spacing),34.5851340347045,-78.3217412726498,,StageIV,Stg_IV_34.58_-78.32
Stage IV Nexrad (4-m spacing),34.6656259561748,-78.3215478365853,,StageIV,Stg_IV_34.66_-78.32
Stage IV Nexrad (4-m spacing),34.2958203281628,-78.3030048584321,,StageIV,Stg_IV_34.29_-78.30
Stage IV Nexrad (4-m spacing),34.3760984713593,-78.3027807862761,,StageIV,Stg_IV_34.37_-78.30
Stage IV Nexrad (4-m spacing),34.4564359912171,-78.3025559517715,,StageIV,Stg_IV_34.45_-78.30
Stage IV Nexrad (4-m spacing),34.5368328745716,-78.302330351021,,StageIV,Stg_IV_34.53_-78.30
Stage IV Nexrad (4-m spacing),34.6172891080052,-78.3021039801009,,StageIV,Stg_IV_34.61_-78.30
Stage IV Nexrad (4-m spacing),34.3278847395447,-78.2834748144999,,StageIV,Stg_IV_34.32_-78.28
Stage IV Nexrad (4-m spacing),34.4081865380385,-78.2832174011255,,StageIV,Stg_IV_34.40_-78.28
Stage IV Nexrad (4-m spacing),34.4885477076345,-78.2829591113724,,StageIV,Stg_IV_34.48_-78.28
Stage IV Nexrad (4-m spacing),34.5689682350657,-78.2826999407577,,StageIV,Stg_IV_34.56_-78.28
Stage IV Nexrad (4-m spacing),34.2796870628378,-78.2642081404812,,StageIV,Stg_IV_34.27_-78.26
Stage IV Nexrad (4-m spacing),34.3599531224031,-78.2639182814369,,StageIV,Stg_IV_34.35_-78.26
Stage IV Nexrad (4-m spacing),34.4402785605428,-78.2636274365598,,StageIV,Stg_IV_34.44_-78.26
Stage IV Nexrad (4-m spacing),34.5206633641398,-78.2633356008118,,StageIV,Stg_IV_34.52_-78.26
Stage IV Nexrad (4-m spacing),34.6011075198237,-78.2630427691208,,StageIV,Stg_IV_34.60_-78.26
Stage IV Nexrad (4-m spacing),34.3117357707025,-78.244658476596,,StageIV,Stg_IV_34.31_-78.24
Stage IV Nexrad (4-m spacing),34.3920254598207,-78.2443352098806,,StageIV,Stg_IV_34.39_-78.24
Stage IV Nexrad (4-m spacing),34.472374521885,-78.2440108429643,,StageIV,Stg_IV_34.47_-78.24
Stage IV Nexrad (4-m spacing),34.5527829436751,-78.2436853702208,,StageIV,Stg_IV_34.55_-78.24
Stage IV Nexrad (4-m spacing),34.3437884318678,-78.2250823150728,,StageIV,Stg_IV_34.34_-78.22
Stage IV Nexrad (4-m spacing),34.4241017348337,-78.2247255503594,,StageIV,Stg_IV_34.42_-78.22
Stage IV Nexrad (4-m spacing),34.5044744050309,-78.2243675706144,,StageIV,Stg_IV_34.50_-78.22
Stage IV Nexrad (4-m spacing),34.5849064291358,-78.2240083696201,,StageIV,Stg_IV_34.58_-78.22
